University ,Year ,Ranking ,Tier 
Princeton,2016,6,
Princeton,2016,7,
Princeton,2016,9,
Princeton,2016,1,3
Princeton,2016,1,3
Princeton,2016,1,3
Princeton,2016,1,3
Princeton,2016,1,3
Princeton,2016,1,1
Princeton,2016,1,1
Princeton,2016,1,2
Princeton,2016,6,
Princeton,2015,6,
Princeton,2015,2,
Princeton,2015,3,
Princeton,2015,3,
Princeton,2015,3,
Princeton,2015,3,
Princeton,2015,3,
Princeton,2015,3,
Princeton,2015,3,
Princeton,2015,8,
Princeton,2015,8,
Princeton,2015,1,3
Princeton,2015,1,3
Princeton,2015,1,3
Princeton,2015,1,3
Princeton,2015,1,3
Princeton,2015,1,3
Princeton,2015,1,2
Princeton,2015,1,3
Princeton,2015,1,3
Princeton,2015,1,1
Princeton,2015,1,1
Princeton,2015,1,2
Princeton,2014,1,2
Princeton,2014,1,3
Princeton,2014,1,3
Princeton,2014,1,3
Princeton,2014,5,
Princeton,2014,5,
Princeton,2014,5,
Princeton,2014,1,3
Princeton,2014,1,3
Princeton,2014,1,3
Princeton,2014,1,1
Princeton,2014,1,1
Princeton,2014,6,
Princeton,2014,1,2
Princeton,2013,6,
Princeton,2013,6,
Princeton,2013,1,3
Princeton,2013,1,3
Princeton,2013,2,
Princeton,2013,2,
Princeton,2013,2,
Princeton,2013,2,
Princeton,2013,3,
Princeton,2013,3,
Princeton,2013,3,
Princeton,2013,5,
Princeton,2013,8,
Princeton,2013,9,
Princeton,2013,9,
Princeton,2013,9,
Princeton,2013,1,1
Princeton,2013,1,1
Princeton,2013,1,2
Princeton,2012,6,
Princeton,2012,1,2
Princeton,2012,6,
Princeton,2012,1,3
Princeton,2012,1,3
Princeton,2012,2,
Princeton,2012,3,
Princeton,2012,4,
Princeton,2012,5,
Princeton,2012,5,
Princeton,2012,1,3
Princeton,2012,1,3
Princeton,2012,1,3
Princeton,2012,1,1
Princeton,2012,1,1
Princeton,2012,1,2
Princeton,2011,1,2
Princeton,2011,6,
Princeton,2011,1,2
Princeton,2011,1,1
Princeton,2011,3,
Princeton,2011,5,
Princeton,2011,5,
Princeton,2011,9,
